Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
Gaming and Leisure Properties Inc,US,GAMING AND LEISURE PROPERTIES INC
Gartner Inc,US,GARTNER INC CL-A
Geberit AG,SW,GEBERIT AG-REG
Gecina SA,FP,GECINA
General Mills Inc,US,GENERAL MILLS INC
General Motors Co,US,GENERAL MOTORS CO
Generali,IM,GENERALI
Genesis Minerals Ltd,AU,GENESIS MINERALS LTD
Genting Singapore Ltd,SP,GENTING SINGAPORE LTD
George Weston Ltd,CN,GEORGE WESTON LTD
Getlink SE,FP,GETLINK SE
Getty Realty Corp,US,GETTY REALTY CORPORATION
Gildan Activewear Inc,CN,GILDAN ACTIVEWEAR INC
Gilead Sciences Inc,US,GILEAD SCIENCES INC
