Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
TYLER TECHNOLOGIES INC COM USD0.01,2909644,"17,963","16,729,452",0.02%
TYSON FOODS INC-CL A CL A,2909730,"2,630","243,992",0.00%
UBER TECHNOLOGIES INC UBER,BK6N347,"18,613","1,813,394",0.00%
UBS GROUP AG UBSG,BRJL176,"690,925","34,145,739",0.04%
UCB SA NPV,5596991,"1,367","439,493",0.00%
UDR INC COM USD0.01,2727910,"3,497","245,210",0.00%
U-HAUL HOLDING CO,BP0VMC3,743,"76,906",0.00%
ULTA SALON COSMETICS & FRAGR COM STK USD,B28TS42,589,"413,548",0.00%
ULTRATECH CEMENT LTD,B01GZF6,"78,791","16,983,545",0.02%
UNIBAIL - RODAMCO-WESTFIELD,BF2PQ09,"1,517","184,540",0.00%
UNIBAIL-RODAMCO-WTFIELD-CDI,BDDR365,"209,414","1,260,675",0.00%
UNI-CHARM CORPORATION UNI-CHARM CORPORAT,6911485,"14,374","192,403",0.00%
UNICREDIT SPA UCGM,BYMXPS7,"17,473","1,125,779",0.00%
UNILEVER PLC,B10RZP7,"606,241","55,771,555",0.07%
UNILEVER PLC,BLRB262,856,"78,576",0.00%
UNION PAC CORP COM,2914734,"27,410","10,095,465",0.01%
UNITED OVERSEAS BANK,6916781,"11,338","487,662",0.00%
UNITED PARCEL SERVICE CL B,2517382,"7,422","1,511,566",0.00%
UNITED RENTALS INC COM,2134781,659,"749,312",0.00%
UNITED THERAPEUTICS CORP COM STK USD0.01,2430412,439,"249,953",0.00%
UNITED UTILITIES GROUP PLC,B39J2M4,"8,822","187,634",0.00%
UNITEDHEALTH GROUP INC,2917766,"50,664","41,394,032",0.05%
UNIVERSAL HEALTH SERVICES-B CLASS'B'COM,2923785,694,"200,992",0.00%
UNIVERSAL MUSIC GROUP BV,BNZGVV1,"351,792","14,544,159",0.02%
UNIVERSAL SCIENTIFIC INDUS-A,BP3R4F5,"1,114,763","4,046,561",0.00%
UNIVERSAL STORE HOLDINGS LTD,BMCK9H1,"1,004,575","8,619,254",0.01%
UPM-KYMMENE OYJ,5051252,"124,566","5,533,261",0.01%
UPTAKE TECHNOLOGIES INC CLASS C COMMON S,MFSS000000312163,"1,110,190",0,0.00%
US BANCORP COM NEW,2736035,"14,528","1,122,328",0.00%
USHIO INC,6918981,"222,041","4,860,439",0.01%
VALARIS LTD,BMY0YX0,"91,882","6,565,209",0.01%
VALERO ENERGY CORP NEW COM,2041364,"3,403","673,718",0.00%
VALLOUREC SA,BLGWF90,"111,506","3,062,136",0.00%
VALMET CORP,BH6XZT5,"49,381","1,926,784",0.00%
VANGUARD AUST SHARES IDX ETF,AU000000VAS1 (ISIN),"501,459","51,013,419",0.06%
VARUN BEVERAGES LTD,BQB80M6,"2,188,170","26,356,574",0.03%
VAT GROUP AG,BYZWMR9,255,"155,860",0.00%
VAULT MINERALS LTD,BSML1B4,"24,202,042","7,986,674",0.01%
VEECO INSTRUMENTS INC COM STK USD0.01,2938422,"22,381","968,780",0.00%
VEEVA SYSTEMS INC-CLASS A COM USD0.00001,BFH3N85,"43,621","14,812,878",0.02%
VENTAS INC COM USD0.25,2927925,"3,843","365,514",0.00%
VENTIA SERVICES GROUP PTY LT,BNV08F0,"246,847","888,648",0.00%
VERALTO CORP-W/I,BPGMZQ5,"2,050","337,148",0.00%
VERBUND AG,4661607,258,"30,153",0.00%
VERISIGN INC COM,2142922,"194,284","64,942,385",0.08%
VERISK ANALYTICS INC-CLASS A COM USD0.00,B4P9W92,"38,414","17,088,325",0.02%
VERIZON COMMUNICATIONS COM,2090571,"44,026","2,843,601",0.00%
VERRA MOBILITY CORP,BFXX5X8,"507,065","19,802,703",0.02%
VERTEX PHARMACEUTICALS INC COM USD0.01,2931034,"2,592","1,685,895",0.00%
VERTIV HOLDINGS CO,BL3LWS8,"3,971","728,638",0.00%
VESTAS WIND SYSTEMS A/S,BN4MYF5,"10,866","239,018",0.00%
VIATRIS INC-W/I,BMWS3X9,"17,113","344,121",0.00%
VICI PROPERTIES INC,BYWH073,"53,049","2,502,727",0.00%
VICINITY CENTERS VCX,BY7QXS7,"12,783,215","26,844,751",0.03%
VICTORIAN PLUMBING PLC,BNVVHD4,"5,464,071","10,256,790",0.01%
VICTORY GIANT TECHNOLOGY -A,BD76164,"217,874","2,017,454",0.00%
VIETNAM DAIRY PRODUCT CO VND10000,B16GLK5,"3,350,009","13,460,722",0.02%
VINCI SA,B1XH026,"4,578","763,599",0.00%
VIPSHOP HOLDINGS LTD - ADS,B3N0H17,"180,531","3,927,567",0.00%
VISA INC-CLASS A SHARES COM STK USD0.000,B2PZN04,"454,763","232,130,169",0.28%
VISTA ENERGY SAB DE CV,US92837L1098 (ISIN),"106,024","9,265,893",0.01%
VISTRA CORP,BZ8VJQ8,"3,640","810,625",0.00%
VISTRY GROUP PLC,185929,"539,834","6,246,022",0.01%
VITESSE ENERGY INC-W/I,BMBX3P7,"10,462","422,434",0.00%
VIVA ENERGY GROUP LTD VEA,BYQM3N1,"29,057,001","76,419,913",0.09%
VODAFONE GROUP PLC,BH4HKS3,"237,702","328,399",0.00%
VOLKSWAGEN AG-PREF,5497168,"2,254","335,642",0.00%
VOLTRONIC POWER TECHNOLOGY VOLTRONIC POW,B96HCH8,"146,910","13,461,610",0.02%
VOLVO AB-A SHS VOLVO AB-A SHS,B1QH7Y4,"-4,579","-180,847",0.00%
VOLVO AB-B SHS,B1QH830,"17,629","692,173",0.00%
VONOVIA SE,BBJPFY1,"6,030","295,669",0.00%
VULCAN MATLS CO COM,2931205,"1,194","495,891",0.00%
WABTEC CORP,2955733,"1,807","553,288",0.00%
WALGREENS BOOTS ALLIANCE INC WBA,BTN1Y44,"7,310","110,160",0.00%
WALMART DE MEXICO-SER V SER'V'NPV,BW1YVH8,"1,794,323","7,650,482",0.01%
WALMART INC,2936921,"43,804","6,392,207",0.01%
WAREHOUSES DE PAUW SCA,BK8VQD9,"2,420","76,904",0.00%
WARNER BROS DISCOVERY INC,BM8JYX3,"21,233","362,478",0.00%
WARRIOR MET COAL INC HCC,BF2X272,"146,845","12,864,224",0.02%
WASHINGTON H. SOUL PATTINSON NPV,6821807,"582,894","19,946,643",0.02%
WASTE CONNECTIONS INC,BYVG1F6,"2,294","635,710",0.00%
WASTE MGMT INC DEL COM,2937667,"4,138","1,348,749",0.00%
WATCHES OF SWITZERLAND GROUP,BJDQQ87,"243,852","2,759,776",0.00%
WATERS CORP COM,2937689,"28,006","16,780,391",0.02%
WATSCO INC COM USD0.50,2943039,349,"267,224",0.00%
WAYPOINT REIT LTD WPR,BLBQ285,"6,767,682","15,768,700",0.02%
WEB TRAVEL GROUP LTD,6015815,"4,978,629","22,851,908",0.03%
WEBJET GROUP LTD,BSY5JG5,"3,441,010","2,993,679",0.00%
WEC ENERGY GROUP INC,BYY8XK8,"3,085","468,528",0.00%
WEG SA COM NPV,2945422,"1,201,462","16,575,440",0.02%
WEICHAI POWER CO LTD-A,BD5CQ03,"1,071,955","3,230,848",0.00%
WELLS FARGO & CO NEW COM,2649100,"245,583","27,860,321",0.03%
WELLTOWER INC HCN,BYVYHH4,"6,735","1,370,885",0.00%
WESFARMERS LIMITED,6948836,"1,795,478","128,430,506",0.16%
WEST AFRICAN RESOURCES LTD WAF,B4KBBN0,"44,871","64,390",0.00%
WEST FRASER TIMBER CO LTD COM NPV,2951098,"78,595","10,993,217",0.01%
WEST JAPAN RAILWAY CO,6957995,"5,455","156,803",0.00%
WEST PHARMACEUTICAL SERVICES COM USD0.25,2950482,605,"319,986",0.00%
WESTERN DIGITAL CORP COM,2954699,"2,713","261,314",0.00%
WESTERN MINING CO -A,BP3R7X4,"1,106,708","3,912,627",0.00%
WESTGOLD RESOURCES LTD,BYVQ673,"1,675,412","4,741,417",0.01%
WESTLAKE CORP,B01ZP20,398,"73,768",0.00%
WESTON GEORGE LTD COM,2956662,868,"217,785",0.00%
WESTPAC BANKING CORPORATION,6076146,"10,490,590","339,055,854",0.41%
WETHERSPOON (J.D.) PLC ORD GBP0.02,163895,"602,436","7,311,544",0.01%
WEYERHAEUSER CO WY,2958936,"22,264","1,012,239",0.00%
WH GROUP LTD,BLLHKZ1,"10,839,703","13,545,319",0.02%
WHARF HOLDINGS LTD,6435576,"21,090","95,812",0.00%
WHARF REAL ESTATE INVESTMENT 1997,BF0GWS4,"27,222","112,408",0.00%
WHEATON PRECIOUS METALS CORP,BF13KN5,"4,118","374,198",0.00%
WHITBREAD PLC SHS,B1KJJ40,846,"50,386",0.00%
WHITEHAVEN COAL LTD NPV,B1XQXC4,"3,664,306","22,718,695",0.03%
WILL SEMICONDUCTOR CO LTD-A,BK947V2,"128,215","2,945,098",0.00%
WILLIAMS COS INC DEL COM,2967181,"11,601","1,014,040",0.00%
WILLIAMS-SONOMA INC COM,2967589,931,"278,551",0.00%
WILLIS TOWERS WATSON PLC,BDB6Q21,"10,275","5,198,147",0.01%
WILMAR INTERNATIONAL LTD SGD0.5,B17KC69,"13,255","48,649",0.00%
WINGTECH TECHNOLOGY CO LTD-A,BK4PZC7,"116,732","995,901",0.00%
WISE PLC - A,BL9YR75,"692,310","14,928,109",0.02%
WISETECH GLOBAL LTD WTC,BZ8GX83,"965,689","116,906,345",0.14%
WIX.COM LTD,BFZCHN7,552,"191,373",0.00%
WOLTERS KLUWER CVA EUR0.12,5671519,"118,838","31,879,592",0.04%
WOODSIDE ENERGY GROUP LTD,BMGT167,"9,149,481","225,077,221",0.28%
WOOLWORTHS GROUP LTD,6981239,"3,027,619","92,312,096",0.11%
WORKDAY INC-CLASS A COM USD0.001,B8K6ZD1,"110,249","45,946,119",0.06%
WORLDLINE SA - W/I WORLDLINE SA - W/I,BNFWR44,0,0,0.00%
WORLEY GROUP LTD SHS,6562474,"12,546,853","171,891,885",0.21%
WP CAREY INC COM USD0.001,B826YT8,"2,472","217,491",0.00%
WPP PLC,B8KF9B4,"13,353","223,488",0.00%
WSP GLOBAL INC,BHR3R21,"1,184","336,347",0.00%
WULIANGYE YIBIN CO LTD-A,BD5CPG2,"695,428","21,425,156",0.03%
WUXI APPTEC CO LTD-A,BHWLWV4,"122,359","1,481,612",0.00%
WYNN RESORTS LTD,2963811,820,"114,088",0.00%
XCEL ENERGY INC COM,2614807,"6,357","693,194",0.00%
XCMG CONSTRUCTION MACHIN-A,BD5CM27,"1,232,946","2,150,982",0.00%
XERO LTD,B8P4LP4,"1,555,658","262,221,762",0.32%
XIAMEN C & D INC-A,BP3R6L5,"1,025,567","2,373,554",0.00%
XIAMEN FARATRONIC CO LTD-A,BP3RDD6,"213,542","5,586,735",0.01%
XI'AN MANARECO NEW MATERIA-A,CNE100005X80 (ISIN),"4,205","28,944",0.00%
XIAOMI CORP-CLASS B,BG0ZMJ9,"8,759,214","62,832,107",0.08%
XINFENGMING GROUP CO LTD-A,BFB4M98,"192,855","472,220",0.00%
XINJIANG GOLDWIND SCI&TECH-A,BD5CQ58,"468,904","1,065,624",0.00%
XINYI GLASS HOLDING CO LTD,B05NXN7,"13,753,806","22,563,022",0.03%
XINYI SOLAR HLDGS,BGQYNN1,"17,375,149","11,343,722",0.01%
XYLEM INC COM USD0.01 WI,B3P2CN8,"2,299","430,768",0.00%
YAKULT HONSHA CO LTD,6985112,"2,037","62,537",0.00%
YAMAHA MOTOR CO LTD,6985264,"10,647","153,673",0.00%
YANCOAL AUSTRALIA LTD,B84LB45,"700,380","4,552,471",0.01%
YANGZIJIANG SHIPBUILDING NPV,B1VT035,"21,597","76,451",0.00%
YARA INTERNATIONAL ASA NOK1.7,7751259,794,"33,985",0.00%
YASKAWA ELECTRIC CORP JPY50,6986041,"1,860","77,724",0.00%
YDUQS PART,BJGV3C2,"3,951,009","8,831,653",0.01%
YEALINK NETWORK TECHNOLOGY-A,BFCCR07,"755,600","6,416,512",0.01%
YETI HOLDINGS INC,BGR7KH2,"229,732","14,288,926",0.02%
YOKOGAWA ELECTRIC CORP,6986427,785,"27,405",0.00%
YOUCARE PHARMACEUTICAL GRO-A,CNE100005XQ2 (ISIN),"13,983","44,328",0.00%
YUM BRANDS INC COM,2098876,"2,422","524,854",0.00%
YUNNAN ALUMINIUM CO LTD-A,BD5CB75,"888,834","2,645,685",0.00%
YUNNAN BAIYAO GROUP CO LTD-A,BD5CP95,"346,241","4,566,537",0.01%
YUNNAN YUNTIANHUA CO-A,BP3RBJ8,"1,390,135","6,819,950",0.01%
ZALANDO SE ZAL,BQV0SV7,"3,892","210,811",0.00%
ZEALAND PHARMA A/S DKK1,B0SDJB4,-331,"-53,106",0.00%
ZEBRA TECHNOLOGIES CORP-CL A 'A'COM USD0,2989356,"26,254","16,377,175",0.02%
ZENKOKU HOSHO CO L NPV,B92MT10,"176,199","10,038,982",0.01%
ZENSHO CO LTD NPV,6042608,864,"79,573",0.00%
ZHEJIANG CHINT ELECTRICS-A,BP3R5K7,"854,507","4,400,849",0.01%
ZHEJIANG CRYSTAL-OPTECH -A,BD5C9N7,"822,065","4,018,555",0.00%
ZHEJIANG DINGLI MACHINERY -A,BYZW440,"286,603","4,068,121",0.00%
ZHEJIANG HUAYOU COBALT CO - A,BFF5BV2,"158,938","1,023,106",0.00%
ZHEJIANG LONGSHENG GROUP C-A,BP3R4W2,"343,731","778,133",0.00%
ZHEJIANG MEDICINE CO LTD-A,BP3R9X8,"45,932","160,266",0.00%
ZHEJIANG NHU CO LTD-A,BD5CH66,"526,739","2,545,923",0.00%
ZHEJIANG SEMIR GARMENT CO-A,BD5CM83,"2,280,946","3,522,668",0.00%
ZHEJIANG WEIXING INDUSTRI-A,BHQPRH3,"2,010,049","6,266,080",0.01%
ZHENGZHOU COAL MINING MACH-A,BP3RCS4,"307,381","877,750",0.00%
ZHENGZHOU YUTONG BUS CO - A,BP3R5T6,"1,155,748","6,707,451",0.01%
ZHONGJI INNOLIGHT CO LTD-A,BFFJRM7,"361,545","9,823,904",0.01%
ZHUHAI COSMX BATTERY CO LT-A,CNE100005030 (ISIN),"27,383","96,869",0.00%
ZIJIN MINING GROUP CO LTD-A,BP3R400,"3,050,524","10,147,188",0.01%
ZIJIN MINING GROUP CO LTD-H,6725299,"3,890,551","11,438,205",0.01%
ZILLOW GROUP INC - C  W/I ZCVVV,BYXJF62,"356,563","42,644,784",0.05%
ZIMMER BIOMET HOLDINGS INC,2783815,"2,099","358,161",0.00%
ZIP CO LTD,BPP1Y77,"4,829,553","14,295,477",0.02%
ZOETIS INC COM USD0.01 CL 'A',B95WG16,"4,401","1,158,182",0.00%
ZOOM COMMUNICATIONS INC,BGSP7M9,"2,227","293,478",0.00%
ZOZO INC,B292RC1,"1,710","86,082",0.00%
ZSCALER INC,BZ00V34,"1,051","306,226",0.00%
ZTE CORP-A,BD5CPY0,"532,023","4,728,585",0.01%
ZURICH INSURANCE GROUP AG,5983816,"1,404","1,348,218",0.00%
Total,,,"34,297,782,475",41.96%
Unlisted Equity,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AIF Capital Asia Management Ltd,,,"11,762,247",0.01%
Airtree Ventures,,,"60,000,255",0.07%
Apollo Global Management,,,"59,888,758",0.07%
Apostle Funds Management,,,"1,884,625,231",2.31%
Artesian Venture Capital,,,"251,571,752",0.31%
Artesian Venture Partners Pty Ltd,,,"1,404,068",0.00%
Baillie Gifford Overseas Limited,,,"112,871,944",0.14%
BB6 (HP) Trust,,,"16,485,377",0.02%
BCP HostPlus Co-Investment Trust,,,"18,783,860",0.02%
Blackbird Ventures Pty Limited,,,"1,265,475,157",1.55%
Blackrock,,,"102,291,382",0.13%
Blackstone and Co,,,"512,522,133",0.63%
Brandon Capital Partners,,,"237,429,565",0.29%
Carthona Capital FS Pty Ltd,,,"228,542,509",0.28%
Citibank Transtition Team,,,"2,121,496",0.00%
Continuity Capital Partners Pty Limited,,,"975,739",0.00%
Cornell Capital,,,"69,578,396",0.09%
Cross Ocean Partners,,,"27,422,313",0.03%
CSIRO Financial Services Pty Ltd,,,"214,390,221",0.26%
Fife Capital,,,"286,743",0.00%
Five V Capital Pty Ltd,,,"21,666,635",0.03%
Flexstone Partners,,,"984,706,634",1.20%
Hamilton Lane,,,"286,697,694",0.35%
Harbourvest Partners,,,"37,593,558",0.05%
Hermes GPE LLP,,,"298,816,584",0.37%
Hosking Partners LLP,,,"8,321,166",0.01%
IFM Investors Pty Ltd ,,,"477,225,181",0.58%
Indigo Asset Management,,,"57,438",0.00%
IP2IPO Australia Pty Ltd,,,"177,273,041",0.22%
iPG Funds,,,"16,230,139",0.02%
ISPT Pty Ltd,,,3,0.00%
Kelso & Company L.P.,,,"329,680,581",0.40%
Lexington Partners,,,"339,987,592",0.42%
LGT Capital Partners (Ireland) Limited,,,"434,936,224",0.53%
Maverick Capital Ltd.,,,"1,254,547,753",1.53%
MH Carnegie & Co,,,"75,635,954",0.09%
Morgan Stanley,,,"95,598,887",0.12%
ORBIS Investment Management Limited,,,"2,448,634,595",3.00%
Paradice Investment Management,,,"73,638,533",0.09%
Partners Group,,,"806,413,390",0.99%
Pomona Capital,,,"63,119",0.00%
ROC Capital Pty Ltd,,,"287,822,043",0.35%
Safar Partners LLC,,,"563,690,210",0.69%
Siguler Guff & Company LP,,,"791,523,525",0.97%
Square Peg Capital Pty Ltd,,,"970,419,586",1.19%
T Rowe Price,,,"12,166,246",0.01%
T Ventures Management Co Ltd,,,"112,282,890",0.14%
Virtual Communities Pty Ltd,,,"1,389,749",0.00%
Warburg Pincus LLC,,,"268,237",0.00%
Wilshire Advisors LLC,,,"5,263,397",0.01%
Wollemi Capital,,,"48,074,807",0.06%
Total,,,"16,039,054,539",19.62%
Unlisted Property,,,,
Held directly or by associated entities or by PSTs,,,,
Internally managed,,,,
Name/kind of investment item,Address,% of property held,Value (AUD),Weighting (%)
Hostplus Commercial Trust,"Levels 1, 9 & 10,  270 Adelaide Street, Brisbane, QLD 4000",100.00%,"3,695,178",0.00%
Hostplus Residential PropertyTrust,"173 -175 Phillip Street, Sydney NSW",90.00%,,0.00%
Hostplus Residential PropertyTrust,"54 Bracks St, North Fremantle WA",60.00%,,0.00%
Hostplus Residential PropertyTrust,"64 Peel Street & 9 Cordella St, South Brisbane QLD",60.00%,,0.00%
Hostplus Residential PropertyTrust,"Helensvale, Helensvale QLD",50.00%,,0.00%
Hostplus Residential PropertyTrust,"Moonee Valley, Moonee Valley VIC",72.00%,,0.00%
Hostplus Residential PropertyTrust,,100.00%,"71,406,391",0.09%
Total,,,"75,101,569",0.09%
Unlisted Property,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AMP Capital Investors,,,"5,433,593",0.01%
BlackRock Investment Management (UK) Limited,,,"4,639",0.00%
Blackstone and Co,,,"5,232,412",0.01%
Blackstone Real Estate Partners Europe,,,"26,479,452",0.03%
Charter Hall Funds Management Limited,,,"1,987,273,999",2.43%
Chauvel Capital Partners,,,"39,420,023",0.05%
DEXUS Property Group,,,"162,412,976",0.20%
Flexstone Partners,,,"42,888,568",0.05%
Gresham Capital Partners,,,"11,803",0.00%
Invesco Adviser INC NA,,,"311,033,490",0.38%
ISPT Pty Ltd,,,"1,195,073,190",1.46%
Kayne Anderson Capital Advisors LP,,,"1,328,317,798",1.62%
Lendlease Investment Management Pte Ltd,,,"13,391,097",0.02%
Lendlease Real Estate Investments Limited,,,"1,115,186,661",1.36%
Nuveen,,,"491,179,579",0.60%
Pretium Partners,,,"440,696,505",0.54%
QIC Limited,,,"134,652,569",0.16%
Total,,,"7,298,688,353",8.93%
Unlisted Infrastructure,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Adelaide Airport Limited,,,"303,119,435",0.37%
AMP Capital Investors,,,"160,049,241",0.20%
ARES Management LLC,,,"163,700",0.00%
Campus Living Funds Management Limited,,,"200,674,745",0.25%
Colonial First State Infrastructure Holdings Limited,,,"98,947",0.00%
Darling Harbour Live 3 Pty Limited,,,"45,905,438",0.06%
Darling Harbour Live 4 Pty Limited,,,"45,905,438",0.06%
First Sentier Investors,,,"2,194,280,336",2.68%
FP Consortium Pty Ltd,,,"274,446,207",0.34%
Gardior,,,"39,344,909",0.05%
Global Infrastructure Partners,,,"390,334,219",0.48%
Golden NA Power Holdings,,,"142,822,732",0.17%
IFM Investors Pty Ltd ,,,"2,638,291,395",3.23%
Macquarie Investment Management Australia Ltd,,,"67,256",0.00%
Morrison & Co Utilities Management (Australia) Pty Ltd,,,"1,016,392,617",1.24%
NSW Ports Property Holdings,,,"83,221,969",0.10%
NSW Ports Pty Ltd,,,2,0.00%
Octopus Investments Australia,,,"112,740,520",0.14%
QGIF IONA,,,"4,462,123",0.01%
QIC Limited,,,"490,021,959",0.60%
Queensland Government Insurance Fund,,,"63,142,546",0.08%
Stonepeak Infrastructure Partners,,,"47,645,799",0.06%
Utilities of Aust Pty Ltd,,,1,0.00%
Total,,,"8,253,131,532",10.10%
Unlisted Alternatives,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Apollo Global Management,,,"149,083,208",0.18%
Apostle Funds Management,,,"30,928,531",0.04%
Athora Holding Ltd,,,"291,245,109",0.36%
Blackstone and Co,,,"982,965,499",1.20%
Blue Ocean Equities,,,"5,624,850",0.01%
Fitzroy Horizons Fund,,,"558,076,697",0.68%
Hayfin Management Limited,,,"283,161,812",0.35%
Irradiant Partners,,,"97,467,469",0.12%
Kayne Anderson Capital Advisors LP,,,"552,603,020",0.68%
Select Market Access Fund Ltd,,,"686,712,414",0.84%
Snow Phipps & Guggenheim,,,"574,833",0.00%
Taconic Capital Advisors,,,"102,068,095",0.12%
Willow Tree Credit Parters LP,,,"200,436,734",0.25%
Total,,,"3,940,948,274",4.82%
Total Investment Items,,,"81,742,845,330",100.00%
,,,,
,,,,
Table 2 — Derivatives by kind of derivative,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Derivatives,,,,
Kind of derivative,,,Value (AUD),Weighting (%)
Swaps,,,0,0.00%
Forwards,,,"-1,724,883,150",-2.11%
Futures,,,"-29,815,847",-0.04%
Options,,,0,0.00%
Total,,,"-1,754,698,997",-2.15%
,,,,
,,,,
Table 3 — Derivatives by asset class,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Derivatives by Asset Class,,,,
Asset class,,,Actual asset allocation (% of total assets (including derivatives) in the investment option),Effect of derivatives exposure (% of total assets (including derivatives) in the investment option)
Cash,,,6.98%,-1.32%
Fixed Income,,,7.32%,-0.03%
Equity,,,61.97%,1.35%
Property,,,8.96%,0.00%
Infrastructure,,,10.18%,0.00%
Alternatives,,,4.60%,0.00%
Total,,,100.00%,0.00%
,,,,
,,,,
Table 4—Derivatives by currency,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Derivatives by Currency,,,,
Currency exposure,,,Actual currency exposure (% of assets and derivatives under management),Effect of derivatives exposure (% of assets and derivatives under management))
AUD,,,50.05%,26.52%
USD,,,35.07%,-19.34%
Developed,,,8.37%,-4.34%
Emerging,,,6.51%,-1.51%
